wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
282,9.275,4.1,7.574999999999999,6.624999999999999,6.45,5.824999999999999,5.3,4.9,4.525,4.3,3.1,2.9,2.475,2.3,2.3249999999999997,2.4,2.25,2.5,19.075,24.933333333333334,98.1
283,9.275,4.025,7.550000000000001,6.624999999999999,6.45,5.824999999999999,5.25,4.875,4.5,4.25,3.1,2.9,2.475,2.3,2.35,2.4,2.25,2.5,19.1,24.933333333333334,97.9
284,9.275,4.0,7.550000000000001,6.550000000000001,6.4,5.775,5.2,4.824999999999999,4.5,4.2250000000000005,3.0749999999999997,2.9,2.5,2.3,2.35,2.4,2.25,2.5,19.075,24.966666666666665,97.9
285,9.275,4.0,7.550000000000001,6.575,6.375,5.775,5.2,4.824999999999999,4.45,4.2,3.0749999999999997,2.9,2.5,2.3,2.375,2.4,2.3,2.525,19.15,25.066666666666663,97.9
286,9.275,3.975,7.550000000000001,6.550000000000001,6.375,5.75,5.2,4.775,4.425000000000001,4.2,3.0749999999999997,2.9,2.5,2.3249999999999997,2.4,2.425,2.3,2.55,19.2,25.2,97.9
287,9.225,3.95,7.5,6.5,6.35,5.7250000000000005,5.1499999999999995,4.75,4.375,4.175,3.0749999999999997,2.9,2.5,2.3,2.4,2.425,2.3,2.55,19.225,25.166666666666668,97.9
288,9.175,3.9,7.45,6.5,6.300000000000001,5.6499999999999995,5.1,4.7,4.324999999999999,4.1,3.0749999999999997,2.9,2.5,2.3,2.4,2.425,2.3,2.5749999999999997,19.275,25.166666666666668,97.9
289,9.175,3.9,7.45,6.45,6.300000000000001,5.6499999999999995,5.1,4.7,4.324999999999999,4.1,3.05,2.9,2.5,2.3,2.4,2.45,2.3,2.5749999999999997,19.300000000000004,25.233333333333334,97.9
290,9.2,3.9,7.45,6.475,6.300000000000001,5.6499999999999995,5.1,4.7,4.324999999999999,4.1,3.05,2.9,2.5,2.4,2.425,2.5,2.35,2.6,19.45,25.366666666666664,97.9
291,9.225,3.9,7.425000000000001,6.45,6.300000000000001,5.6499999999999995,5.1,4.675,4.324999999999999,4.074999999999999,3.0749999999999997,2.9,2.525,2.4,2.425,2.5,2.375,2.6,19.6,25.53333333333333,97.9
292,9.2,3.85,7.425000000000001,6.4,6.25,5.624999999999999,5.1,4.625,4.275,4.025,3.0749999999999997,2.9,2.5,2.4,2.425,2.5,2.375,2.6,19.6,25.53333333333333,98.0
293,9.2,3.8,7.4,6.4,6.25,5.624999999999999,5.074999999999999,4.6,4.25,4.025,3.0749999999999997,2.9,2.5,2.4,2.425,2.5,2.375,2.6,19.625,25.566666666666666,98.0
294,9.2,3.8,7.425000000000001,6.4,6.25,5.624999999999999,5.074999999999999,4.6499999999999995,4.275,4.025,3.0749999999999997,2.9,2.55,2.4,2.5,2.525,2.4,2.625,19.725,25.633333333333336,98.0
295,9.225,3.8,7.425000000000001,6.4,6.25,5.624999999999999,5.074999999999999,4.6499999999999995,4.275,4.025,3.0749999999999997,2.9,2.5749999999999997,2.4,2.5,2.525,2.4,2.6500000000000004,19.950000000000003,25.899999999999995,97.9
296,9.225,3.8,7.425000000000001,6.4,6.25,5.624999999999999,5.05,4.6499999999999995,4.25,4.025,3.0749999999999997,2.95,2.6,2.4250000000000003,2.5,2.525,2.4,2.6500000000000004,20.075,25.933333333333337,98.0
297,9.225,3.8,7.425000000000001,6.4,6.25,5.6,5.05,4.625,4.25,4.025,3.0749999999999997,2.95,2.6,2.4250000000000003,2.5,2.55,2.4,2.6500000000000004,20.125,25.933333333333337,98.2
298,9.225,3.8,7.35,6.4,6.2250000000000005,5.6,5.025,4.625,4.25,4.0,3.0749999999999997,2.95,2.6,2.4250000000000003,2.5,2.5749999999999997,2.4,2.6500000000000004,20.125,25.933333333333337,98.1
299,9.2,3.8,7.35,6.35,6.2250000000000005,5.574999999999999,5.025,4.574999999999999,4.2250000000000005,4.0,3.0749999999999997,2.95,2.6,2.4250000000000003,2.5,2.5749999999999997,2.4,2.6500000000000004,20.1,25.933333333333337,98.1
300,9.149999999999999,3.8,7.35,6.35,6.2250000000000005,5.574999999999999,5.0,4.574999999999999,4.2,4.0,3.0749999999999997,2.975,2.6,2.475,2.525,2.6,2.45,2.7,20.1,25.933333333333337,98.1
301,9.149999999999999,3.8,7.375,6.35,6.25,5.574999999999999,5.025,4.574999999999999,4.2250000000000005,4.0,3.1,3.0,2.625,2.5,2.6,2.6500000000000004,2.5,2.7,20.125,26.0,98.1
302,9.175,3.8249999999999997,7.425000000000001,6.4,6.25,5.6,5.025,4.625,4.2250000000000005,4.0,3.1500000000000004,3.025,2.7,2.525,2.6,2.6500000000000004,2.525,2.75,20.25,26.0,98.1
303,9.175,3.85,7.4,6.4,6.25,5.6499999999999995,5.1,4.6499999999999995,4.25,4.025,3.175,3.0749999999999997,2.7,2.575,2.625,2.7,2.55,2.75,20.325000000000003,26.03333333333333,98.1
304,9.2,3.875,7.475,6.425000000000001,6.300000000000001,5.6499999999999995,5.1,4.675,4.324999999999999,4.1,3.2,3.1,2.75,2.6,2.7,2.7250000000000005,2.6,2.8,20.400000000000002,26.133333333333336,98.1
305,9.3,3.925,7.475,6.525,6.4,5.75,5.2,4.75,4.4,4.15,3.2750000000000004,3.175,2.8,2.7,2.7250000000000005,2.8,2.6500000000000004,2.8249999999999997,20.55,26.333333333333332,98.0
306,9.425,4.0,7.6,6.6,6.475,5.85,5.3,4.85,4.45,4.2,3.375,3.25,2.9,2.7,2.8,2.875,2.7,2.9,20.75,26.53333333333333,98.0
307,9.525,4.1,7.7,6.7,6.6,5.95,5.324999999999999,4.925000000000001,4.55,4.275,3.425,3.3,2.95,2.8,2.9,2.95,2.8,2.95,21.025000000000002,26.600000000000005,98.0
308,9.600000000000001,4.2,7.800000000000001,6.800000000000001,6.675,6.025,5.425000000000001,5.025,4.625,4.375,3.525,3.4,3.025,2.9,2.975,3.025,2.875,3.0,21.125,26.933333333333334,98.0
309,9.65,4.25,7.85,6.824999999999999,6.7250000000000005,6.1,5.5,5.074999999999999,4.7,4.45,3.5749999999999997,3.475,3.1,2.9,3.0,3.05,2.9,3.0749999999999997,21.225,27.0,98.1
310,9.65,4.3,7.875,6.875,6.775,6.1499999999999995,5.574999999999999,5.1,4.75,4.475,3.6500000000000004,3.55,3.125,3.0,3.0749999999999997,3.125,2.975,3.1,21.3,27.0,98.1
311,9.675,4.35,7.9,6.949999999999999,6.824999999999999,6.2250000000000005,5.624999999999999,5.175,4.824999999999999,4.55,3.7,3.6,3.2,3.025,3.1500000000000004,3.2,3.0,3.1500000000000004,21.325000000000003,27.03333333333333,98.2
