wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
842,55.225,53.875,57.8,56.166666666666664,58.775,53.220000000000006
843,55.15,53.85,57.60000000000001,56.13333333333333,58.7,53.239999999999995
844,55.075,53.825,57.575,56.1,58.5,53.28000000000001
845,54.7,53.800000000000004,57.575,56.06666666666666,58.474999999999994,53.260000000000005
846,54.925000000000004,53.875,57.525,56.099999999999994,58.400000000000006,53.3
847,55.175,53.8,57.5,56.099999999999994,58.325,53.3
848,55.125,53.75,57.5,56.099999999999994,58.474999999999994,53.279999999999994
849,55.125,53.775,57.375,56.199999999999996,58.474999999999994,53.379999999999995
850,55.15,53.775,57.35,56.199999999999996,58.5,53.339999999999996
851,55.225,53.849999999999994,57.35,56.199999999999996,58.5,53.35999999999999
852,55.25,53.825,57.35,56.133333333333326,58.55,53.4
853,55.099999999999994,53.725,57.35,56.133333333333326,58.574999999999996,53.31999999999999
854,55.37499999999999,53.775,57.225,56.43333333333334,58.849999999999994,53.52
855,55.3,53.725,57.25,56.43333333333334,58.900000000000006,53.5
856,55.3,53.699999999999996,57.224999999999994,56.43333333333334,58.825,53.36
857,55.25,53.75,57.375,56.46666666666667,58.925,53.42
858,55.35,53.8,57.47500000000001,56.43333333333334,58.925,53.4
859,55.324999999999996,53.849999999999994,57.400000000000006,56.36666666666667,58.85,53.480000000000004
860,55.2,53.8,57.375,56.53333333333334,58.85,53.419999999999995
861,55.25,54.075,57.425,56.56666666666666,58.775,53.339999999999996
862,55.325,54.10000000000001,57.4,56.633333333333326,58.85,53.379999999999995
863,55.35,54.175,57.4,56.73333333333333,58.85,53.279999999999994
864,55.425,54.14999999999999,57.5,56.800000000000004,58.925,53.279999999999994
865,55.475,54.175,57.5,56.800000000000004,59.150000000000006,53.36
866,55.525,54.2,57.425,56.666666666666664,59.224999999999994,53.339999999999996
867,55.525,54.35,57.45,56.76666666666667,59.25,53.339999999999996
868,55.550000000000004,54.3,57.5,56.800000000000004,59.25,53.339999999999996
869,55.650000000000006,54.324999999999996,57.55,56.86666666666667,59.275,53.540000000000006
870,55.675,54.3,57.5,56.93333333333334,59.474999999999994,53.540000000000006
871,55.675,54.324999999999996,57.55,56.96666666666667,59.400000000000006,53.6
872,55.7,54.4,57.575,57.0,59.375,53.8
873,55.75,54.375,57.6,57.06666666666666,59.375,53.8
874,55.8,54.474999999999994,57.650000000000006,57.099999999999994,59.400000000000006,53.81999999999999
875,55.8,54.599999999999994,57.72500000000001,57.133333333333326,59.525000000000006,53.9
876,56.025,54.599999999999994,57.85,57.133333333333326,59.575,53.9
877,56.05,54.625,57.875,57.133333333333326,59.599999999999994,53.9
878,56.300000000000004,54.64999999999999,58.025,57.133333333333326,59.725,53.9
879,56.349999999999994,54.7,58.075,57.36666666666667,59.824999999999996,54.02
880,56.75,54.87499999999999,58.27499999999999,57.43333333333334,60.025000000000006,54.11999999999999
881,57.35,55.10000000000001,58.55,58.06666666666666,60.37500000000001,54.14
882,57.55,55.225,58.275000000000006,58.63333333333333,60.475,54.239999999999995
883,57.599999999999994,55.375,57.724999999999994,58.6,60.349999999999994,54.17999999999999
884,57.47500000000001,55.35,57.74999999999999,58.56666666666666,60.075,54.4
885,57.125,55.35,57.8,58.23333333333333,59.85000000000001,54.760000000000005
886,56.5,55.224999999999994,58.275,57.36666666666667,59.824999999999996,54.9
887,56.25,55.275000000000006,59.25,57.23333333333334,59.925,54.94
888,56.225,55.275000000000006,60.349999999999994,57.23333333333334,60.125,55.02
889,56.2,55.325,60.3,57.333333333333336,60.150000000000006,55.02
890,56.199999999999996,55.325,59.9,57.36666666666667,60.175000000000004,54.980000000000004
891,56.275,55.35,59.625,57.36666666666667,60.2,54.92
892,56.35,55.35,59.45,57.4,60.25,54.9
893,56.5,55.325,59.375,57.43333333333334,60.3,54.839999999999996
894,56.574999999999996,55.375,59.325,57.43333333333334,60.3,54.839999999999996
895,56.825,55.3,59.125,57.633333333333326,60.375,54.7
896,56.87499999999999,55.2,58.875,57.76666666666667,60.39999999999999,54.67999999999999
897,56.825,55.3,58.625,58.03333333333333,60.349999999999994,54.81999999999999
898,56.75000000000001,55.375,58.425000000000004,57.96666666666667,60.325,54.879999999999995
899,56.675,55.375,58.775,57.333333333333336,60.325,54.81999999999999
900,56.475,55.4,59.375,57.300000000000004,60.325,54.86
901,56.475,55.425,59.724999999999994,57.36666666666667,60.425,54.86
902,56.525000000000006,55.474999999999994,59.825,57.43333333333334,60.425,54.86
903,56.575,55.474999999999994,59.724999999999994,57.6,60.45,54.86
904,56.975,55.474999999999994,59.5,57.76666666666667,60.675,54.720000000000006
905,57.4,55.45,59.099999999999994,58.06666666666666,60.724999999999994,54.459999999999994
906,57.5,55.550000000000004,58.474999999999994,58.13333333333333,60.599999999999994,54.52
907,57.425,55.7,58.45,58.133333333333326,60.575,54.660000000000004
908,57.0,55.775,58.775000000000006,57.96666666666667,60.45,54.92
909,56.675,55.675,59.225,57.833333333333336,60.449999999999996,54.94
910,56.625,55.75000000000001,59.975,57.76666666666667,60.675,55.08
911,56.675,55.800000000000004,60.1,57.76666666666667,60.775,55.08
912,56.7,55.699999999999996,59.925,57.800000000000004,60.8,54.94
913,56.75,55.699999999999996,59.599999999999994,57.800000000000004,60.75,54.96
914,56.8,55.675000000000004,59.425,57.93333333333334,60.75,54.94
915,57.050000000000004,55.675000000000004,59.25,58.03333333333333,60.824999999999996,54.8
916,57.7,55.675000000000004,59.25,58.366666666666674,61.025000000000006,54.68000000000001
917,57.7,55.60000000000001,58.7,58.6,60.949999999999996,54.7
918,57.675000000000004,55.62500000000001,58.375,58.56666666666667,60.925,54.71999999999999
919,57.575,55.775,58.375,58.56666666666667,60.875,54.739999999999995
920,56.95,55.85,58.949999999999996,58.43333333333334,60.775,54.8
921,56.55,55.849999999999994,60.3,58.03333333333334,60.824999999999996,55.160000000000004
