Wavelength,PreheatTrans,PostheatTrans,Irrad1Trans,Irrad2Trans,Irrad3Trans,Irrad4Trans,Irrad5Trans,Irrad6Trans,Irrad7Trans,Irrad8Trans,Irrad9Trans,Irrad10Trans,Irrad11Trans,Irrad12Trans,Irrad13Trans,Irrad14Trans,Irrad15Trans
921,64.93,59.18,55.62,55.62,57.8,57.85,57.58,57.975,57.14,56.05,56.05,56.825,56.58,55.25,53.15,55.13,54.6
922,65.53,59.1,55.64,55.64,58.83,57.73,57.65,58.075,57.04,56.33,56.33,56.7,56.3,55.28,53.23,55.23,54.6
923,65.53,59.08,55.64,55.64,57.8,57.78,57.85,58.225,57.06,56.48,56.48,56.725,56.33,55.35,53.25,55.2,54.63
924,65.48,59.05,55.64,55.64,57.8,57.83,57.83,58.275,56.98,56.55,56.55,56.825,56.4,55.4,53.28,55.2,54.68
925,65.38,59.1,55.62,55.62,57.83,57.9,57.85,58.3,57.02,56.53,56.53,56.825,56.4,55.43,53.33,55.23,54.55
926,65.38,59.08,55.64,55.64,57.85,57.93,57.88,58.275,57.06,56.45,56.45,56.85,56.38,55.45,53.28,55.15,54.58
927,65.38,59.18,55.6,55.6,57.9,57.88,57.9,58.275,57.12,56.43,56.43,56.95,56.45,55.45,53.1,55.15,54.6
928,65.28,59.18,55.6,55.6,57.9,57.9,57.93,58.15,57.12,56.45,56.45,56.9,56.43,55.5,53.13,55.08,54.53
929,65.18,59.1,55.64,55.64,57.93,58,57.93,58.15,57.12,56.43,56.43,56.975,56.4,55.45,53.13,55.15,54.53
930,65.18,59.15,55.64,55.64,57.93,58.05,57.93,58.175,57.16,56.48,56.48,56.975,56.48,55.58,53.13,55.18,54.53
931,65.2,59.18,55.62,55.62,57.9,57.98,57.93,58.25,57.16,56.48,56.48,56.975,56.53,55.6,53.15,55.23,54.58
932,65.08,59.2,55.62,55.62,57.98,57.95,58,58.45,57.22,56.43,56.43,57.025,56.58,55.63,53.15,55.23,54.68
933,65,59.18,55.64,55.64,57.98,58.08,58.15,58.45,57.24,56.43,56.43,57.1,56.58,55.7,53.23,55.15,54.83
934,65,59.1,55.74,55.74,58.05,58.08,58.15,58.45,57.38,56.4,56.4,57.125,56.55,55.68,53.25,55.15,54.8
935,65.03,59.13,55.76,55.76,58.28,58.1,58.13,58.475,57.5,56.45,56.45,57.175,56.55,55.68,53.28,55.33,54.78
936,65.05,59.25,55.9,55.9,58.28,58.1,58.05,58.5,57.6,56.55,56.55,57.2,56.65,55.65,53.3,55.4,54.83
937,65.05,59.25,55.92,55.92,58.3,58.13,58.1,58.525,57.62,56.58,56.58,57.325,56.78,55.78,53.38,55.48,54.88
938,64.98,59.45,55.94,55.94,58.35,58.28,58.1,58.525,57.68,56.6,56.6,57.425,56.85,55.88,53.4,55.53,54.93
939,64.9,59.48,55.94,55.94,58.35,58.3,58.13,58.525,57.68,56.63,56.63,57.7,57,55.98,53.43,55.55,54.98
940,64.88,59.55,56.04,56.04,58.35,58.25,58.18,58.475,57.66,56.65,56.65,57.8,57.03,56.03,53.4,55.58,55.03
941,64.98,59.53,56.1,56.1,58.43,58.25,58.2,58.475,57.72,56.8,56.8,57.775,57.15,56.08,53.45,55.6,55.03
942,65.13,59.53,56.08,56.08,58.45,58.28,58.25,58.5,57.7,56.83,56.83,57.775,57.13,56.03,53.48,55.6,55.08
943,65.3,59.45,56.1,56.1,58.43,58.28,58.33,58.525,57.8,56.8,56.8,57.8,57.13,56.03,53.53,55.65,55.08
944,65.5,59.43,56.22,56.22,58.48,58.4,58.33,58.6,57.72,56.93,56.93,57.8,57.18,56.13,53.55,55.7,55.13
945,65.5,59.48,56.28,56.28,58.48,58.43,58.33,58.775,57.74,57.08,57.08,57.8,57.23,56.15,53.65,55.75,55.15
946,65.58,59.5,56.26,56.26,58.55,58.53,58.35,58.825,57.74,57.18,57.18,57.875,57.33,56.2,53.75,55.75,55.2
947,65.65,59.65,56.28,56.28,58.55,58.58,58.4,58.875,57.86,57.15,57.15,57.9,57.28,56.18,53.75,55.73,55.3
