wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10
397,97.6,30.93333333,26.675,20.225,19.675,19.425,20.55,20.4,20.125,19.625,19.225,19.45,19.35
398,97.5,30.96666667,26.675,20.375,19.825,19.525,20.725,20.525,20.25,19.775,19.4,19.65,19.475
399,97.5,31.03333333,26.725,20.5,19.9,19.725,20.85,20.7,20.325,19.925,19.525,19.775,19.6
400,97.5,31.13333333,26.775,20.675,20.125,19.9,21.025,20.825,20.5,20.075,19.7,19.9,19.775
401,97.4,31.2,26.95,20.8,20.3,20.075,21.15,21.025,20.725,20.275,19.95,20.075,19.975
402,97.3,31.33333333,26.975,20.9,20.4,20.175,21.275,21.15,20.925,20.425,20.075,20.275,20.15
403,97.3,31.33333333,26.95,20.975,20.45,20.2,21.4,21.25,20.95,20.475,20.1,20.325,20.175
404,97.3,31.33333333,26.9,20.975,20.45,20.2,21.4,21.25,20.95,20.475,20.1,20.375,20.175
405,97.4,31.26666667,26.825,20.975,20.475,20.225,21.45,21.275,20.975,20.475,20.15,20.4,20.175
406,97.4,31.23333333,26.85,21.15,20.55,20.4,21.5,21.375,21.05,20.575,20.25,20.45,20.3
407,97.7,31.23333333,26.975,21.275,20.725,20.5,21.7,21.5,21.225,20.675,20.4,20.6,20.45
408,97.7,31.23333333,27.025,21.425,20.9,20.65,21.9,21.675,21.35,20.95,20.55,20.85,20.6
409,97.7,31.23333333,27.025,21.525,20.975,20.75,22,21.725,21.45,21.05,20.6,20.9,20.725
410,97.7,31.23333333,27.025,21.525,21.025,20.75,22.025,21.775,21.525,21.075,20.7,20.95,20.75
411,97.7,31.23333333,27,21.6,21.05,20.85,22.05,21.9,21.6,21.125,20.7,21.05,20.85
412,97.7,31.23333333,27.025,21.7,21.2,21,22.2,22.075,21.75,21.325,20.85,21.15,21.05
413,97.7,31.26666667,27.05,21.8,21.35,21.075,22.325,22.125,21.85,21.45,21.05,21.275,21.125
414,97.7,31.26666667,27.075,21.925,21.45,21.2,22.45,22.225,21.975,21.525,21.125,21.425,21.25
415,97.7,31.3,27.15,22.025,21.575,21.325,22.55,22.375,22.025,21.675,21.3,21.625,21.425
416,97.7,31.3,27.225,22.175,21.7,21.45,22.7,22.475,22.175,21.775,21.425,21.8,21.575
417,97.8,31.43333333,27.4,22.325,21.85,21.55,22.875,22.675,22.35,21.95,21.575,21.9,21.7
418,97.8,31.46666667,27.475,22.475,22,21.725,23.025,22.8,22.5,22.125,21.7,22.075,21.875
419,97.8,31.56666667,27.575,22.625,22.125,21.85,23.15,22.975,22.675,22.25,21.9,22.2,22
420,98,31.6,27.575,22.725,22.225,21.925,23.25,23.05,22.75,22.35,21.95,22.325,22.05
421,98,31.56666667,27.575,22.725,22.2,21.925,23.275,23.075,22.8,22.35,21.95,22.325,22.05
422,98,31.5,27.55,22.725,22.25,21.975,23.325,23.15,22.825,22.35,22,22.35,22.1
423,98,31.5,27.5,22.775,22.35,22.05,23.4,23.225,22.9,22.45,22.1,22.475,22.15
424,97.9,31.46666667,27.5,22.875,22.4,22.075,23.45,23.325,22.925,22.5,22.15,22.5,22.2
425,98,31.43333333,27.475,22.9,22.4,22.175,23.5,23.325,22.95,22.5,22.15,22.5,22.225
426,97.9,31.36666667,27.475,22.925,22.45,22.25,23.6,23.375,23,22.55,22.225,22.55,22.275
427,98,31.33333333,27.475,22.95,22.5,22.35,23.6,23.4,23.05,22.6,22.225,22.7,22.325
