wavelength,S6 Post Heat,S6 Preheat,blank
1030,53.225,54.93333333,98.9
1031,53.175,54.86666667,99
1032,53.075,54.83333333,99
1033,52.975,54.3,98.8
1034,52.975,54.26666667,98.8
1035,52.925,54.13333333,98.8
1036,52.775,53.96666667,98.6
1037,52.65,53.76666667,98.6
1038,52.125,53.73333333,98.6
1039,52.05,53.3,98.6
1040,51.85,53.26666667,98.6
1041,51.65,53.13333333,98.6
1042,51.425,53,98.5
1043,51.3,52.93333333,98.5
1044,51.325,52.8,98.4
1045,51.25,52.73333333,98.4
1046,51.35,52.7,98.4
1047,51.225,52.63333333,98.5
1048,51.225,52.66666667,98.6
1049,51.2,52.6,98.6
1050,51.35,52.63333333,98.6
1051,51.4,52.5,98.6
1052,51.25,52.46666667,98.6
1053,51.175,52.36666667,98.7
1054,50.95,52.36666667,98.9
1055,50.8,52.3,98.7
1056,50.725,52.3,98.7
1057,50.325,51.93333333,98.7
1058,49.6,51.26666667,98.7
1059,48.575,50.9,98.7
1060,48.05,50.8,98.8
1061,47.95,50.16666667,98.6
1062,47.85,50.03333333,98.7
1063,47.9,49.96666667,98.7
1064,47.875,49.8,98.8
1065,47.925,49.8,98.8
1066,47.925,49.8,98.7
1067,47.95,49.73333333,98.8
1068,47.875,49.66666667,98.9
1069,47.525,49.36666667,98.8
1070,47.125,49.3,98.8
1071,46.95,49.13333333,98.8
1072,46.9,49.26666667,98.8
1073,46.975,49.23333333,98.7
1074,46.9,49.03333333,98.4
1075,46.925,48.8,98.3
1076,46.575,48.43333333,97.8
1077,46.775,48.36666667,97.9
1078,46.5,48.36666667,97.9
1079,46.45,48.46666667,98
1080,46.475,48.6,98.4
1081,46.5,48.53333333,98.3
1082,46.425,48.5,98.4
1083,46.3,48.46666667,98.4
1084,46.35,48.43333333,98.4
1085,46.6,48.53333333,98.5
1086,46.6,48.7,98.4
1087,46.5,48.7,98.4
1088,46.35,48.46666667,98.4
1089,46.05,48.3,98.5
1090,45.8,48.1,98.6
1091,45.7,47.73333333,98.5
1092,45.65,47.73333333,98.6
1093,45.7,47.93333333,98.7
1094,45.6,48.13333333,98.9
1095,45.625,48.16666667,98.5
1096,45.575,48,98.6
1097,45.475,47.73333333,98.6
1098,45.45,47.5,98.6
1099,45.4,47.43333333,99.1
1100,65.025,59.53333333,99.4
