wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
318,97.9,27.5,22,10.175,5.125,8.5,7.575,7.575,6.975,6.4,5.95,5.525,5.275,4.45,4.35,3.925,3.7,3.825,3.875,3.675,3.75
319,97.9,27.6,22.05,10.275,5.25,8.6,7.65,7.7,7.1,6.525,6.05,5.65,5.425,4.575,4.475,4.025,3.8,3.925,4.025,3.775,3.85
320,97.9,27.6,22.075,10.35,5.375,8.75,7.75,7.85,7.225,6.675,6.2,5.8,5.55,4.7,4.65,4.125,3.925,4.05,4.125,3.875,3.95
321,97.9,27.93333333,22.4,10.6,5.6,8.95,7.975,8.05,7.45,6.9,6.425,6,5.75,4.9,4.85,4.325,4.1,4.25,4.325,4.05,4.15
322,98,28.33333333,22.85,10.825,5.85,9.15,8.25,8.3,7.725,7.125,6.7,6.25,5.975,5.125,5.05,4.55,4.3,4.45,4.525,4.25,4.325
323,98,28.43333333,22.95,10.95,6,9.25,8.35,8.45,7.875,7.325,6.85,6.425,6.125,5.325,5.25,4.7,4.5,4.575,4.65,4.375,4.45
324,98,28.3,22.775,10.95,6.075,9.3,8.35,8.525,7.95,7.4,6.9,6.475,6.225,5.425,5.35,4.8,4.55,4.675,4.75,4.475,4.55
325,98,28.2,22.65,10.925,6.2,9.35,8.45,8.55,8.025,7.5,7,6.575,6.3,5.525,5.45,4.875,4.7,4.775,4.85,4.575,4.65
326,98.1,28.1,22.625,10.95,6.35,9.45,8.55,8.675,8.15,7.625,7.125,6.725,6.475,5.625,5.575,5.025,4.8,4.925,5,4.675,4.75
327,98.1,28.1,22.7,11.1,6.5,9.55,8.65,8.9,8.35,7.825,7.325,6.9,6.65,5.825,5.75,5.2,4.975,5.075,5.175,4.85,4.925
328,98,28.2,22.9,11.25,6.75,9.75,8.85,9.1,8.55,8.025,7.525,7.125,6.85,6.05,5.975,5.4,5.175,5.275,5.375,5.05,5.1
329,98,28.4,23.175,11.425,7,9.95,9.05,9.35,8.8,8.25,7.775,7.35,7.1,6.275,6.25,5.6,5.4,5.5,5.6,5.25,5.3
330,98,28.7,23.45,11.65,7.225,10.15,9.25,9.55,9.05,8.525,8.025,7.6,7.325,6.525,6.45,5.85,5.6,5.75,5.8,5.475,5.5
331,98,28.9,23.625,11.825,7.475,10.35,9.45,9.75,9.25,8.75,8.25,7.825,7.575,6.75,6.675,6.05,5.8,5.95,6.025,5.675,5.7
332,98,28.93333333,23.625,11.925,7.625,10.475,9.575,9.95,9.45,8.925,8.425,8,7.725,6.95,6.85,6.225,5.95,6.1,6.2,5.8,5.9
333,98,28.83333333,23.6,12,7.775,10.55,9.7,10.05,9.55,9.025,8.55,8.125,7.875,7.075,7.05,6.375,6.1,6.25,6.35,5.95,6
334,97.9,28.83333333,23.575,12.025,7.925,10.65,9.85,10.2,9.725,9.2,8.7,8.3,8.025,7.25,7.225,6.5,6.275,6.4,6.475,6.1,6.15
335,98,28.86666667,23.725,12.2,8.175,10.825,10,10.4,9.95,9.425,8.925,8.5,8.275,7.475,7.45,6.75,6.475,6.6,6.7,6.325,6.375
336,98,29.03333333,23.9,12.4,8.425,11.025,10.175,10.625,10.15,9.65,9.15,8.75,8.5,7.75,7.65,6.975,6.7,6.85,6.925,6.55,6.6
337,98.1,29.1,23.975,12.55,8.625,11.2,10.35,10.825,10.35,9.85,9.35,8.95,8.725,7.95,7.925,7.2,6.9,7.05,7.125,6.75,6.8
338,98.1,29.13333333,24.025,12.65,8.85,11.325,10.55,11,10.55,10.05,9.575,9.15,8.925,8.15,8.125,7.4,7.1,7.25,7.35,6.95,6.975
339,98.1,29.26666667,24.15,12.825,9.1,11.525,10.75,11.225,10.825,10.3,9.825,9.4,9.15,8.4,8.35,7.6,7.3,7.5,7.575,7.15,7.2
